"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 29 14:02:08 UTC 2024","Thu Aug 29 14:02:08 UTC 2024","55","","Checking links","","","","Should open Linkedin in new tab",""
"passed","Thu Aug 29 14:02:10 UTC 2024","Thu Aug 29 14:02:10 UTC 2024","105","","Checking links","","","","Should redirect to the saucelabs.com",""
"passed","Thu Aug 29 14:02:03 UTC 2024","Thu Aug 29 14:02:16 UTC 2024","13280","","Cart functionality","","","","Should remove item from cart from cart page",""
"passed","Thu Aug 29 14:02:03 UTC 2024","Thu Aug 29 14:02:09 UTC 2024","6072","","Sorting Functionality","","","","Should sort by price (high to low)",""
"passed","Thu Aug 29 14:02:02 UTC 2024","Thu Aug 29 14:02:08 UTC 2024","6178","","Login/Logout Functionality","","","","Should not login with invalid password",""
"passed","Thu Aug 29 14:02:07 UTC 2024","Thu Aug 29 14:02:09 UTC 2024","2463","","Sorting Functionality","","","","Should sort by name (Z to A)",""
"passed","Thu Aug 29 14:02:09 UTC 2024","Thu Aug 29 14:02:09 UTC 2024","485","","Sorting Functionality","","","","Should return to the inventory page",""
"passed","Thu Aug 29 14:02:03 UTC 2024","Thu Aug 29 14:02:08 UTC 2024","4957","","Login/Logout Functionality","","","","Should not login with invalid login",""
"passed","Thu Aug 29 14:02:00 UTC 2024","Thu Aug 29 14:02:16 UTC 2024","15889","","Cart functionality","","","","Should remove item from cart from inventory page",""
"passed","Thu Aug 29 14:02:06 UTC 2024","Thu Aug 29 14:02:06 UTC 2024","8","","Login/Logout Functionality","","","","Should logout. Return to login page, login and password fields are empty",""
"passed","Thu Aug 29 14:02:04 UTC 2024","Thu Aug 29 14:02:16 UTC 2024","11676","","Cart functionality","","","","Should save the cart after logout",""
"passed","Thu Aug 29 14:02:05 UTC 2024","Thu Aug 29 14:02:09 UTC 2024","4257","","Sorting Functionality","","","","Should sort by name (A to Z)",""
"passed","Thu Aug 29 14:02:01 UTC 2024","Thu Aug 29 14:02:09 UTC 2024","8515","","Sorting Functionality","","","","Should sort by price (low to high)",""
"passed","Thu Aug 29 14:02:08 UTC 2024","Thu Aug 29 14:02:09 UTC 2024","1010","","Sorting Functionality","","","","Should open an item page",""
"passed","Thu Aug 29 14:02:01 UTC 2024","Thu Aug 29 14:02:16 UTC 2024","15115","","Checkout Process","","","","Should complete a checkout with valid data",""
"passed","Thu Aug 29 14:02:04 UTC 2024","Thu Aug 29 14:02:04 UTC 2024","4","","Login/Logout Functionality","","","","Should not login with locked out user",""
"passed","Thu Aug 29 14:02:05 UTC 2024","Thu Aug 29 14:02:16 UTC 2024","11784","","Checkout Process","","","","Could not go to checkout with empty cart, error message ""Cart is empty"" is displayed",""
"passed","Thu Aug 29 14:02:06 UTC 2024","Thu Aug 29 14:02:06 UTC 2024","50","","Checking links","","","","Should open facebook in new tab",""
"passed","Thu Aug 29 14:02:00 UTC 2024","Thu Aug 29 14:02:08 UTC 2024","8062","","Login/Logout Functionality","","","","Should login with valid credentials",""
"passed","Thu Aug 29 14:02:02 UTC 2024","Thu Aug 29 14:02:14 UTC 2024","11473","","Checking links","","","","Should open twitter in new tab",""
